Starting Amount,6/17/15,287.34,Split,Starting Amount
Cash,6/18/15,-3,Food,Raisinets Oakland Grizz Express
Cash,6/18/15,-11,Food,"2 Jr. Ham and Chedder, Mid Beef N' Chedder W/ mid currly fries and large pop"
Cash,6/18/15,-8,Food,Bagle Dog and Pop From Oakland Einstein Bagels
Cash,6/18/15,42,Split,Cash On Hand
Work Pay (Direct Deposit),6/19/15,636.27,Split,Income 40 Hours Oakland
Debit,6/19/15,-15,Fun,golfing Bello woods Golf
Debit,6/19/15,-7,Food,2 Raisinets CVS
Debit,6/19/15,-6.46,Fun,Cigars for golfing from gas station
Cash,6/19/15,-3,Food,2 Hotdogs Grizz Express Oakland
Cash,6/19/15,-10,Food,McDonalds
Cash,6/19/15,-5,Food,Strawberry Banana Smothie Einstein's Bagels
Debt Payment,6/21/15,-40,Debt,Parent Gifts Debts to Siblings
Debit,6/22/15,-11.3,Food,"2 Jr. Ham and Chedder, Mid Beef N' Chedder W/ large currly fries and large pop"
Debit,6/22/15,-4.55,Food,Strawberry Banana Smothie Einstein's Bagels
Debit,6/23/15,-4.44,Food,Pop and Raisinets grizz Express Oakland
Debit,6/24/15,-5.38,Food,2 Raisinets grizz Express Oakland
Debit,6/24/15,-55.65,Food,"Pizza party 3 large pizza's from Pizzeria Bistro, Rochester MI"
Debit,6/24/15,-7.41,Food,Nova lox with pop Einstein's Bagels
Cash,6/24/15,14,Split,From cans/pizza party
Debit,6/25/15,-7.41,Food,Nova lox Einstein's Bagels
Cash,6/25/15,13,Split,Bottle Return
Cash,6/25/15,-10,Food,McDonalds Big Mac Meal with 2 McDoubles
Cash,6/26/15,-10,Food,"Nova lox, Pepsi Einstein's Bagels"
Work Pay (Direct Deposit),7/3/15,636.27,Split,Income 40 Hours Oakland
Cash,7/5/15,5,Food,food reimbursement From Umi Sushi
Debt,7/6/15,-31,Food,"Umi Sushi 2 California Rolls, 1 Salmon Roll, 1 Alasken, 1 Umi Sushi Roll"
Debit Payment,7/6/15,-10,Debt,Elizabeth for Mom's Birthday
Debit,7/6/15,-41.7,Gas,"$2.849/gal Murphy USA, 23 Mile Road Shelby Twp"
Debit,7/6/15,-9.16,Food,"Nova lox, Pepsi Einstein's Bagels"
Cash,7/6/15,-3,Food,Raisinets grizz Express Oakland
Cash,7/6/15,-2,Food,Mountain Dew Einstein's Bagels
Debit,7/7/15,-19.59,Food,3 Hot and ready with bread and garlic sause Little Caesars
Debit,7/7/15,-10.26,Food,"Panera Bread You Pick 2, Broccoli Cheddar Soup and Half Italian Combo Sandwich with Mayonnaise, No Combo Sauce, No Sliced Tomatoes, No Swiss"
Cash,7/7/15,-3,Food,Raisinets grizz Express Oakland
Cash,7/7/15,-5,Food,Strawberry Banana Smothie Einstein's Bagels
Debit,7/8/15,-3.96,Food,Grizz Express 2 Hot dog
Debit,7/8/15,-7.04,Food,Bagle Dog and Pop From Oakland Einstein Bagels
Debit,7/8/15,-4.55,Food,Strawberry Banana Smothie Einstein's Bagels
Debit,7/8/15,-144.23,Fun,Tough Mudder
Cash,7/8/15,20,Food,Repay from ohms pizza
Debit,7/9/15,-12.97,Fun,Cigars
Debit,7/9/15,-15,Food,Shamrock Pub
Cash,7/9/15,-2,Food,Sour Patch Kids Grizz Express
Cash,7/9/15,-10,Food,Tie Food
Cash,7/9/15,-6,Food,Bagle Dog and Pop From Oakland Einstein Bagels
Debit,7/10/15,-11,Food,National Coney Island
Debit,7/10/15,-20,Fun,Imperial Lanes
Debit,7/10/15,-9.5,Food,McDonalds
Debit,7/10/15,-4.23,Food,Bacon Cheese Saled grizz Express Oakland
Debit,7/10/15,-4.02,Food,Strawberry Banana Smothie Einstein's Bagels
Cash,7/10/15,-2,Food,Pop Oakland Vending Machine
Debit,7/12/15,-4.97,Boat,Drinks From Seven Eleven
Debit,7/12/15,-4.23,Boat,5w30 Motor Oil
Debit,7/13/15,-2.59,Food,Grizz Express
Debit,7/13/15,-9.2,Food,Jimmy Johns
Debit,7/13/15,-4.02,Food,Smothie from Einstein's Bagels
Debit,7/14/15,-7.37,Food,Bangkok Cuisine
Debit,7/14/15,-4.55,Food,Grizz Express
Debit,7/15/15,0.28,Split,Unknown Missed Something Balanced out
Debit,7/15/15,-10.14,Food,McDonalds
Debit,7/15/15,-7.41,Food,Grizz Express
